Time (ms),Resistance CH1 (microOhm),Resistance CH2 (microOhm),Resistance CH3 (microOhm),Resistance CH4 (microOhm),Resistance CH5 (microOhm),Resistance CH6 (microOhm),Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Current CH1 (A),Current CH2 (A),Coil Current C1 (A)
0.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,10.0,10.0,5.0
0.10002000400080016,50.0,50.0,50.0,50.0,50.0,50.0,0.020004000800160033,0.020004000800160033,0.020004000800160033,10.0,10.0,5.0
0.20004000800160032,50.0,50.0,50.0,50.0,50.0,50.0,0.040008001600320066,0.040008001600320066,0.040008001600320066,10.0,10.0,5.0
0.3000600120024005,50.0,50.0,50.0,50.0,50.0,50.0,0.0600120024004801,0.0600120024004801,0.0600120024004801,10.0,10.0,5.0
0.40008001600320064,50.0,50.0,50.0,50.0,50.0,50.0,0.08001600320064013,0.08001600320064013,0.08001600320064013,10.0,10.0,5.0
0.5001000200040008,50.0,50.0,50.0,50.0,50.0,50.0,0.10002000400080016,0.10002000400080016,0.10002000400080016,10.0,10.0,5.0
0.600120024004801,50.0,50.0,50.0,50.0,50.0,50.0,0.1200240048009602,0.1200240048009602,0.1200240048009602,10.0,10.0,5.0
0.7001400280056012,50.0,50.0,50.0,50.0,50.0,50.0,0.14002800560112022,0.14002800560112022,0.14002800560112022,10.0,10.0,5.0
0.8001600320064013,50.0,50.0,50.0,50.0,50.0,50.0,0.16003200640128026,0.16003200640128026,0.16003200640128026,10.0,10.0,5.0
0.9001800360072014,50.0,50.0,50.0,50.0,50.0,50.0,0.1800360072014403,0.1800360072014403,0.1800360072014403,10.0,10.0,5.0
1.0002000400080016,50.0,50.0,50.0,50.0,50.0,50.0,0.20004000800160032,0.20004000800160032,0.20004000800160032,10.0,10.0,5.0
1.1002200440088017,50.0,50.0,50.0,50.0,50.0,50.0,0.22004400880176037,0.22004400880176037,0.22004400880176037,10.0,10.0,5.0
1.200240048009602,50.0,50.0,50.0,50.0,50.0,50.0,0.2400480096019204,0.2400480096019204,0.2400480096019204,10.0,10.0,5.0
1.3002600520104022,50.0,50.0,50.0,50.0,50.0,50.0,0.2600520104020804,0.2600520104020804,0.2600520104020804,10.0,10.0,5.0
1.4002800560112023,50.0,50.0,50.0,50.0,50.0,50.0,0.28005601120224044,0.28005601120224044,0.28005601120224044,10.0,10.0,5.0
1.5003000600120024,50.0,50.0,50.0,50.0,50.0,50.0,0.3000600120024005,0.3000600120024005,0.3000600120024005,10.0,10.0,5.0
